wall_time,step,value
1775323757.9146585,40000,3989.0
1775323846.8969207,80000,3999.0
1775323935.9586651,120000,3999.0
1775324023.5978212,160000,3999.0
1775324045.219197,170000,714.0
1775324111.6149647,200000,3999.0
1775324130.6393733,210000,3999.0
1775324174.7658956,230000,2997.0
1775324197.3816333,240000,3999.0
1775324219.3875747,250000,3999.0
1775324263.746821,270000,3999.0
1775324285.4790463,280000,3999.0
1775324307.6661708,290000,3999.0
1775324352.1173193,310000,3999.0
1775324374.310564,320000,3772.625
1775324396.7673368,330000,3999.0
1775324440.135999,350000,3999.0
1775324462.3642333,360000,3999.0
1775324484.7433984,370000,3999.0
1775324528.3272362,390000,3999.0
1775324550.446951,400000,3999.0
1775324572.4598348,410000,3999.0
1775324616.091946,430000,3999.0
1775324638.4469862,440000,3999.0
1775324660.4087276,450000,3999.0
1775324704.150591,470000,3999.0
1775324726.0124528,480000,3998.75
1775324748.1404138,490000,3999.0
1775324792.3061192,510000,3183.0
1775324814.9981163,520000,3999.0
1775324834.1242588,530000,3999.0
1775324878.6303086,550000,3999.0
1775324901.4814608,560000,3999.0
1775324922.9512947,570000,3999.0
1775324967.0724468,590000,3936.5
1775324990.2853222,600000,3999.0
1775325012.3812568,610000,3999.0
1775325035.094582,620000,2520.0
1775325057.1804786,630000,3999.0
1775325079.6133246,640000,3999.0
1775325101.7698555,650000,3999.0
1775325124.3172708,660000,3999.0
1775325146.0139647,670000,3999.0
1775325168.598469,680000,3999.0
1775325190.2432754,690000,3999.0
1775325212.3230987,700000,3999.0
1775325234.0918026,710000,3999.0
1775325256.5372546,720000,3999.0
1775325278.116051,730000,3999.0
1775325300.528591,740000,3999.0
1775325322.0630333,750000,3999.0
1775325344.7783895,760000,3999.0
1775325366.516944,770000,2626.0
1775325389.3166432,780000,3999.0
1775325410.899053,790000,3999.0
1775325433.5615196,800000,3999.0
1775325455.5634542,810000,2872.666748046875
1775325497.5060833,820000,3999.0
1775325584.4529448,860000,3998.0
1775325606.8797793,870000,462.0
1775325673.6207752,900000,3999.0
1775325696.174755,910000,3999.0
1775325761.5535119,940000,3999.0
1775325783.8243072,950000,3999.0
1775325849.7090757,980000,3999.0
1775325871.8329363,990000,3999.0
1775325935.057497,1020000,3999.0
1775325957.6972098,1030000,2447.5
1775326024.2887897,1060000,3590.5556640625
1775326046.2019944,1070000,2820.0
1775326113.321503,1100000,3999.0
1775326135.098359,1110000,3999.0
1775326202.0355647,1140000,3999.0
1775326223.7834811,1150000,3999.0
1775326290.2419388,1180000,3999.0
1775326311.868822,1190000,3999.0
1775326377.5750678,1220000,3999.0
1775326426.8206267,1230000,3999.0
1775326449.328839,1240000,988.0
1775326516.7376685,1270000,3998.0
1775326539.267566,1280000,3999.0
1775326558.1906765,1290000,1587.0
1775326603.1746376,1310000,3999.0
1775326625.6010876,1320000,3999.0
1775326646.9860597,1330000,3999.0
1775326690.4134622,1350000,3999.0
1775326711.1257432,1360000,3999.0
1775326730.6723804,1370000,3999.0
1775326771.5468726,1390000,3999.0
1775326792.074773,1400000,3999.0
1775326811.7731805,1410000,3999.0
1775326853.0833714,1430000,3906.125
1775326874.0773802,1440000,3999.0
1775326894.5186126,1450000,2691.0
1775326936.1500258,1470000,3999.0
1775326956.636923,1480000,2468.5
1775326977.407137,1490000,3293.333251953125
1775327018.6435158,1510000,3999.0
1775327042.3815892,1520000,3953.5
1775327062.1783595,1530000,3999.0
1775327102.7214894,1550000,3999.0
1775327123.252674,1560000,3999.0
1775327143.5095882,1570000,3999.0
1775327181.7183344,1590000,3738.666748046875
1775327202.691591,1600000,3999.0
1775327222.5574803,1610000,3813.0
1775327243.0616386,1620000,2614.0
1775327263.5015051,1630000,3999.0
1775327283.0869896,1640000,2967.333251953125
1775327303.2887936,1650000,3999.0
1775327323.8593955,1660000,3999.0
1775327343.3410728,1670000,3999.0
1775327363.054927,1680000,3999.0
1775327382.8810666,1690000,3206.666748046875
1775327402.587211,1700000,3546.5
1775327422.658089,1710000,3145.666748046875
1775327442.8154294,1720000,3978.0
1775327462.2413166,1730000,3999.0
1775327482.2519555,1740000,3999.0
1775327502.1166005,1750000,3999.0
1775327522.2364295,1760000,3999.0
1775327542.121945,1770000,3999.0
1775327562.2847354,1780000,2970.0
1775327582.315935,1790000,3999.0
1775327602.1402771,1800000,3805.666748046875
1775327632.698247,1810000,3999.0
1775327714.0955162,1850000,3998.0
1775327792.8938005,1890000,3999.0
1775327873.7606952,1930000,3999.0
1775327954.9084888,1970000,3999.0
1775327999.892207,1990000,1612.0
