wall_time,step,value
1775323757.919157,40000,-3382.38232421875
1775323846.903021,80000,-4184.0693359375
1775323935.964607,120000,-3518.951416015625
1775324023.603347,160000,-2840.8505859375
1775324045.2217443,170000,372.0990905761719
1775324111.6205807,200000,-877.2203979492188
1775324130.6404011,210000,-6076.51953125
1775324174.7684538,230000,2096.2763671875
1775324197.387181,240000,-1474.446533203125
1775324219.389611,250000,-5181.4130859375
1775324263.7478256,270000,-4513.00390625
1775324285.484725,280000,-1137.1932373046875
1775324307.6681793,290000,-5233.97509765625
1775324352.1198564,310000,-1864.5242919921875
1775324374.3157494,320000,-2585.193603515625
1775324396.7689059,330000,-9569.224609375
1775324440.1381238,350000,-16729.220703125
1775324462.3705175,360000,-725.069091796875
1775324484.7449207,370000,-1648.01904296875
1775324528.3303516,390000,3084.861328125
1775324550.4525197,400000,-3656.138671875
1775324572.4621542,410000,3135.237548828125
1775324616.0943766,430000,2204.1474609375
1775324638.450902,440000,-761.5403442382812
1775324660.411238,450000,-547.0059814453125
1775324704.1520715,470000,-1409.615234375
1775324726.0183017,480000,-4060.727294921875
1775324748.1432257,490000,-1136.9525146484375
1775324792.3124208,510000,-6319.9052734375
1775324815.0049503,520000,-1284.6583251953125
1775324834.1268795,530000,-93.9472885131836
1775324878.6361315,550000,-768.0869140625
1775324901.4897475,560000,-5.278121471405029
1775324922.9539144,570000,-16630.638671875
1775324967.0770926,590000,232.0926513671875
1775324990.292134,600000,-2272.569091796875
1775325012.3833113,610000,2493.162109375
1775325035.0975888,620000,1085.076904296875
1775325057.182025,630000,36.18860626220703
1775325079.6160104,640000,-6202.31787109375
1775325101.7708533,650000,1344.808349609375
1775325124.3193917,660000,-8377.2548828125
1775325146.0159802,670000,-6995.20166015625
1775325168.602091,680000,1069.4498291015625
1775325190.2452824,690000,-945.5743408203125
1775325212.3250766,700000,2449.44970703125
1775325234.092834,710000,1990.9239501953125
1775325256.5419142,720000,-3429.07373046875
1775325278.1181502,730000,-7833.2109375
1775325300.530972,740000,-11977.9951171875
1775325322.0651534,750000,-7569.419921875
1775325344.7850583,760000,-3247.6083984375
1775325366.5214603,770000,53.77250671386719
1775325389.318194,780000,1484.433837890625
1775325410.9004412,790000,-1766.0106201171875
1775325433.5662038,800000,-5757.24365234375
1775325455.5685515,810000,-2463.5625
1775325497.5076125,820000,-18540.3046875
1775325584.4583886,860000,-4608.8203125
1775325606.881786,870000,73.49348449707031
1775325673.6294193,900000,-2893.92919921875
1775325696.1758273,910000,-4489.5693359375
1775325761.5595934,940000,-441.761474609375
1775325783.826843,950000,-9296.7568359375
1775325849.7146196,980000,-1727.533447265625
1775325871.8354807,990000,-5242.2451171875
1775325935.0626743,1020000,-3293.636962890625
1775325957.6992576,1030000,1789.2694091796875
1775326024.292904,1060000,-1191.57470703125
1775326046.2071793,1070000,-5961.18359375
1775326113.3256304,1100000,785.5256958007812
1775326135.1037805,1110000,-1881.0052490234375
1775326202.0401611,1140000,-1271.234375
1775326223.7887146,1150000,-1439.5645751953125
1775326290.2456627,1180000,-4108.48974609375
1775326311.8703644,1190000,-6708.04296875
1775326377.5801277,1220000,537.1112670898438
1775326426.8237271,1230000,2387.987548828125
1775326449.3310783,1240000,1614.3546142578125
1775326516.7430327,1270000,-2915.160888671875
1775326539.2690718,1280000,1271.9105224609375
1775326558.1937785,1290000,-343.4847106933594
1775326603.1801448,1310000,-3646.95458984375
1775326625.6031106,1320000,323.6678161621094
1775326646.9885812,1330000,3298.841796875
1775326690.4195087,1350000,-666.9058837890625
1775326711.1288345,1360000,-5239.3896484375
1775326730.6738834,1370000,-2618.095947265625
1775326771.5546677,1390000,-2774.395751953125
1775326792.0769227,1400000,2923.592529296875
1775326811.7746913,1410000,2907.128662109375
1775326853.0895321,1430000,-2539.877197265625
1775326874.0797532,1440000,3689.140625
1775326894.5201402,1450000,2162.976806640625
1775326936.1560657,1470000,-4512.98046875
1775326956.6391094,1480000,1956.894775390625
1775326977.4133177,1490000,91.81040954589844
1775327018.6503427,1510000,-2301.387451171875
1775327042.3850985,1520000,185.95855712890625
1775327062.1808844,1530000,1746.1912841796875
1775327102.7265165,1550000,-5824.84375
1775327123.2546988,1560000,-9650.1220703125
1775327143.5149076,1570000,-333.83441162109375
1775327181.7234046,1590000,1743.4949951171875
1775327202.6925962,1600000,-5591.9375
1775327222.5636828,1610000,-283.0987854003906
1775327243.0645802,1620000,2373.611572265625
1775327263.509036,1630000,-3358.017822265625
1775327283.0925705,1640000,-1385.028564453125
1775327303.291493,1650000,-4665.84228515625
1775327323.8604019,1660000,-3979.650634765625
1775327343.3461404,1670000,-422.5594482421875
1775327363.0572526,1680000,-11063.48046875
1775327382.8861556,1690000,-394.79986572265625
1775327402.589744,1700000,2692.63037109375
1775327422.6606445,1710000,1353.2999267578125
1775327442.821309,1720000,-784.8053588867188
1775327462.2465374,1730000,-999.296142578125
1775327482.2548091,1740000,2295.859619140625
1775327502.1226635,1750000,718.349609375
1775327522.2436478,1760000,-1536.8079833984375
1775327542.1281326,1770000,529.342041015625
1775327562.2898839,1780000,991.9088134765625
1775327582.3179789,1790000,1841.33203125
1775327602.1462977,1800000,269.176513671875
1775327632.7043242,1810000,-3641.169677734375
1775327714.1010413,1850000,-949.2337646484375
1775327792.899346,1890000,-1367.5882568359375
1775327873.7667148,1930000,-1055.3731689453125
1775327954.9168656,1970000,-603.165771484375
1775327999.8947492,1990000,1243.362548828125
