wall_time,step,value
1775901216.623759,50000,10320.6708984375
1775901302.2315335,100000,8934.3837890625
1775901384.816398,150000,7993.0849609375
1775901472.0035188,200000,8216.923828125
1775901572.4910884,250000,10868.5087890625
1775901670.8040576,300000,7279.14599609375
1775901775.1402516,350000,6866.896484375
1775901874.2550318,400000,10707.380859375
1775901977.7926996,450000,7456.029296875
1775902083.7124832,500000,8088.1044921875
1775902184.2790036,550000,1046.8463134765625
1775902288.1392171,600000,9967.5927734375
1775902392.4868078,650000,10712.5595703125
1775902492.6636467,700000,6061.2529296875
1775902600.6197326,750000,9136.37890625
1775902698.594623,800000,10468.03125
1775902799.9117737,850000,6545.17529296875
1775902899.489818,900000,4819.5556640625
1775902995.339977,950000,6658.15576171875
1775903099.243903,1000000,6753.89404296875
1775903195.3443859,1050000,9819.052734375
1775903296.992778,1100000,4906.0361328125
1775903398.5249226,1150000,13411.8232421875
1775903498.5104012,1200000,8168.17138671875
1775903601.7628589,1250000,8746.3330078125
1775903700.189905,1300000,12100.5205078125
1775903802.4153051,1350000,12767.4912109375
1775903906.714924,1400000,12035.77734375
1775904003.4033284,1450000,7996.205078125
1775904103.507019,1500000,12182.3681640625
1775904205.6147592,1550000,10605.4345703125
1775904304.6160102,1600000,7537.01806640625
1775904407.4969614,1650000,10475.978515625
1775904508.0454109,1700000,10186.55078125
1775904612.3416152,1750000,9551.681640625
1775904716.6067402,1800000,7173.91259765625
1775904814.6155543,1850000,8113.927734375
