wall_time,step,value
1775901216.6222,50000,3999.0
1775901302.2300227,100000,3999.0
1775901384.8153872,150000,3999.0
1775901472.0030153,200000,3999.0
1775901572.4910884,250000,3999.0
1775901670.8040576,300000,3999.0
1775901775.1390362,350000,3999.0
1775901874.2550318,400000,3999.0
1775901977.7926996,450000,3837.333251953125
1775902083.7124832,500000,3999.0
1775902184.2779963,550000,3999.0
1775902288.1392171,600000,3999.0
1775902392.4863012,650000,3999.0
1775902492.6636467,700000,3999.0
1775902600.6185875,750000,3999.0
1775902698.594623,800000,3999.0
1775902799.9117737,850000,3999.0
1775902899.489818,900000,3999.0
1775902995.3389509,950000,3999.0
1775903099.243903,1000000,3999.0
1775903195.3443859,1050000,3999.0
1775903296.992778,1100000,3999.0
1775903398.5239153,1150000,3999.0
1775903498.5104012,1200000,3999.0
1775903601.761371,1250000,3999.0
1775903700.189905,1300000,3999.0
1775903802.4153051,1350000,3999.0
1775903906.714924,1400000,3999.0
1775904003.4023201,1450000,3999.0
1775904103.5065103,1500000,3999.0
1775904205.6132538,1550000,3818.916748046875
1775904304.6150098,1600000,3999.0
1775904407.4969614,1650000,3999.0
1775904508.0448046,1700000,3876.666748046875
1775904612.341001,1750000,3999.0
1775904716.6067402,1800000,3999.0
1775904814.6155543,1850000,3999.0
