wall_time,step,value
1775328174.2886376,30000,586.2214965820312
1775328195.7965283,40000,-2716.184814453125
1775328256.0586593,70000,708.1571044921875
1775328277.1677837,80000,-1496.264404296875
1775328337.9870577,110000,-1539.4110107421875
1775328359.7097857,120000,-6492.33740234375
1775328420.652504,150000,-6489.25732421875
1775328441.591217,160000,-3189.81689453125
1775328501.2007236,190000,20.852739334106445
1775328522.9181504,200000,-5895.31103515625
1775328580.6657476,230000,-3285.441162109375
1775328601.350734,240000,-4466.8564453125
1775328661.6677961,270000,-522.5938110351562
1775328682.9143844,280000,-1781.7562255859375
1775328733.9681742,310000,149.56451416015625
1775328752.050015,320000,-3038.173095703125
1775328812.4567583,350000,-2804.0625
1775328833.8054986,360000,-4113.455078125
1775328894.1602635,390000,-1525.17236328125
1775328915.7198765,400000,-3822.18896484375
1775328971.758969,430000,-735.9934692382812
1775328993.8137493,440000,-3457.5732421875
1775329055.0118265,470000,-9659.7626953125
1775329076.9771585,480000,-5013.51416015625
1775329137.3395553,510000,-721.3375244140625
1775329158.6806927,520000,-2617.605224609375
1775329218.4531481,550000,-4524.44921875
1775329239.0940144,560000,-821.6273803710938
1775329297.1590416,590000,-2063.3193359375
1775329318.0361915,600000,-3548.715087890625
1775329376.3919911,630000,-13741.615234375
1775329398.2071633,640000,-3658.10009765625
1775329458.741186,670000,-1671.0809326171875
1775329479.5086033,680000,-908.771728515625
1775329538.6807714,710000,-6521.75048828125
1775329559.7512882,720000,-4682.51513671875
1775329619.7269597,750000,-634.091796875
1775329640.8182344,760000,-4354.6669921875
1775329699.6844265,790000,-12689.7421875
1775329720.7430515,800000,-4677.8017578125
1775329780.63612,830000,-8994.8876953125
1775329802.088627,840000,-1957.1212158203125
1775329860.3170145,870000,-8744.806640625
1775329881.7537625,880000,-1743.4500732421875
1775329942.3585453,910000,-1730.9072265625
1775329963.5914693,920000,-4090.950439453125
1775330022.0167086,950000,-665.228271484375
1775330100.6347399,980000,-6715.966796875
1775330140.6867545,1000000,-7212.55517578125
1775330180.9148567,1020000,-7818.3056640625
1775330222.3154967,1040000,-4720.56640625
1775330243.1511412,1050000,44.891845703125
1775330259.4494798,1060000,-2357.23388671875
1775330301.1647236,1080000,-4196.91064453125
1775330321.936294,1090000,-7812.63232421875
1775330341.7333975,1100000,-555.253662109375
1775330382.2738132,1120000,-8635.833984375
1775330403.2038295,1130000,-7971.01953125
1775330422.992845,1140000,-5169.04931640625
1775330443.3179126,1150000,-374.0811462402344
1775330462.575849,1160000,-4044.927978515625
1775330482.9096496,1170000,-831.6980590820312
1775330502.8370106,1180000,-3312.75048828125
1775330523.5350165,1190000,-17224.396484375
1775330543.2980082,1200000,-4923.64013671875
1775330563.844245,1210000,-6243.3359375
1775330583.3885741,1220000,-2465.0830078125
1775330604.4057221,1230000,-1481.349609375
1775330624.2319343,1240000,-9316.1318359375
1775330644.1646323,1250000,-4124.2607421875
1775330663.4539788,1260000,-6115.81591796875
1775330683.3923793,1270000,-5569.51708984375
1775330702.786866,1280000,-2716.968017578125
1775330743.429382,1300000,-3622.06103515625
1775330763.846406,1310000,-12254.8818359375
1775330781.1685543,1320000,-4668.97412109375
1775330821.0162642,1340000,1190.296630859375
1775330841.2544832,1350000,-4913.35400390625
1775330861.157057,1360000,-5757.8837890625
1775330901.3802292,1380000,-11112.244140625
1775330921.6228707,1390000,-2972.425048828125
1775330941.393655,1400000,-5443.05224609375
1775330981.5631654,1420000,-8634.5771484375
1775331001.4980652,1430000,-1872.0855712890625
1775331021.4608092,1440000,-4560.49658203125
1775331061.2490263,1460000,-9134.4638671875
1775331081.3184001,1470000,-3696.69970703125
1775331101.0007734,1480000,-5761.017578125
1775331141.0645666,1500000,-3344.7529296875
1775331161.2682858,1510000,-9385.2685546875
1775331181.272139,1520000,-3641.324951171875
1775331221.8689902,1540000,-2577.171142578125
1775331241.7267656,1550000,-9287.849609375
1775331261.592155,1560000,-3328.89990234375
1775331301.913094,1580000,-3339.026123046875
1775331322.171219,1590000,-7996.44873046875
1775331342.2142127,1600000,-8427.34765625
1775331383.122789,1620000,-3259.142578125
1775331403.2658117,1630000,-8016.1982421875
1775331420.6630826,1640000,-3192.27490234375
1775331461.3815627,1660000,-9693.125
1775331481.1731777,1670000,-3120.90234375
1775331501.051024,1680000,-7626.16064453125
1775331541.2900124,1700000,-3812.460693359375
1775331561.2256753,1710000,-3920.547607421875
1775331581.0886827,1720000,-1950.53076171875
1775331621.3025324,1740000,-2273.27099609375
1775331641.333216,1750000,-3587.5751953125
1775331661.2672324,1760000,-7399.45703125
1775331703.093547,1780000,-5461.2431640625
1775331723.2689724,1790000,-2225.26220703125
1775331743.1580975,1800000,-2928.365478515625
1775331783.6175997,1820000,-1965.3565673828125
1775331803.9020922,1830000,-8427.400390625
1775331824.1404922,1840000,-5244.78173828125
1775331864.190364,1860000,-5282.09716796875
1775331884.4969938,1870000,-2424.295166015625
1775331904.470354,1880000,-3334.069580078125
1775331944.419888,1900000,-1073.8280029296875
1775331964.4885569,1910000,-3138.250732421875
1775331984.408885,1920000,-4651.7431640625
1775332024.6871605,1940000,-2052.067626953125
1775332044.904356,1950000,-2068.307861328125
1775332064.9063883,1960000,-5190.560546875
1775332102.617725,1980000,-2133.443603515625
1775332122.9831548,1990000,-4263.82666015625
1775332142.8286636,2000000,-4844.45703125
