step,wall_time,Environment_Cumulative_Reward,Environment_Episode_Length,Losses_Policy_Loss,Losses_Value_Loss,Policy_Beta,Policy_Entropy,Policy_Epsilon,Policy_Extrinsic_Reward,Policy_Extrinsic_Value_Estimate,Policy_Learning_Rate
10000,1775240801.777753,,,,,,2.1445021629333496,,,-24.252765655517578,
20000,1775240823.0981996,,,0.02414327673614025,59.76336669921875,0.004972854629158974,2.144789218902588,0.19945600628852844,,-23.096872329711914,0.0002983679878525436
30000,1775240842.7028437,,,0.01968359760940075,62.10555648803711,0.004945708904415369,2.1466164588928223,0.19891199469566345,,-26.289833068847656,0.00029673599055968225
40000,1775240862.8260212,-874.5272827148438,3999.0,0.024958420544862747,59.157196044921875,0.004918563179671764,2.1524126529693604,0.19836799800395966,-874.5272827148438,-24.738122940063477,0.0002951039932668209
50000,1775240883.3911636,-1029.0013427734375,,0.023294759914278984,33.49131393432617,0.0048922160640358925,2.1463446617126465,0.19784000515937805,-1029.0013427734375,-21.584423065185547,0.0002935199881903827
60000,1775240903.9769971,,,0.029218699783086777,48.39219665527344,0.004865070339292288,2.1298959255218506,0.19729599356651306,,-27.422704696655273,0.0002918879908975214
70000,1775240923.3833659,,,0.021507294848561287,208.40032958984375,0.004837924614548683,2.1290130615234375,0.19675199687480927,,-52.974735260009766,0.00029025599360466003
80000,1775240943.9557793,-1632.572265625,3999.0,0.018024113029241562,210.8011016845703,0.004810779355466366,2.134974479675293,0.19620800018310547,-1632.572265625,-66.74681854248047,0.0002886239963117987
90000,1775240964.9487677,-3765.64990234375,,0.024780120700597763,99.38158416748047,0.004784431774169207,2.151362180709839,0.19568000733852386,-3765.64990234375,-27.23678207397461,0.0002870399912353605
100000,1775240985.7658522,,,0.02004331722855568,225.19113159179688,0.004757286515086889,2.1311182975769043,0.19513599574565887,,-31.250917434692383,0.00028540799394249916
110000,1775241005.8122754,,,0.020978804677724838,117.39674377441406,0.004730140790343285,2.134246826171875,0.19459199905395508,,-27.305908203125,0.0002837759966496378
120000,1775241026.275604,-1003.9523315429688,3999.0,0.0256040021777153,61.271305084228516,0.00470299506559968,2.131251096725464,0.19404800236225128,-1003.9523315429688,-24.21299934387207,0.0002821439993567765
130000,1775241046.8996687,-980.3909301757812,,0.030386757105588913,11.697737693786621,0.004676647949963808,2.152827739715576,0.19351999461650848,-980.3909301757812,-18.877471923828125,0.0002805599942803383
140000,1775241065.117409,,,,,,2.1463730335235596,,,-24.777660369873047,
150000,1775241085.3017366,,,0.01903543993830681,56.62495803833008,0.004649502225220203,2.1303608417510986,0.1929759979248047,,-26.141407012939453,0.00027892799698747694
160000,1775241105.7625945,-1046.0947265625,3999.0,0.02817738987505436,41.669803619384766,0.004622356966137886,2.1359517574310303,0.1924320012331009,-1046.0947265625,-25.795461654663086,0.0002772959996946156
170000,1775241126.7252796,-727.638427734375,,0.027110228314995766,26.972461700439453,0.004596009384840727,2.1371068954467773,0.1919039934873581,-727.638427734375,-22.2569637298584,0.0002757119946181774
180000,1775241147.6469834,,,0.021059464663267136,26.816259384155273,0.0045688641257584095,2.138028383255005,0.1913599967956543,,-20.179784774780273,0.00027407999732531607
190000,1775241167.4179425,,,0.02145790122449398,18.803560256958008,0.004541718401014805,2.123425006866455,0.1908160001039505,,-23.2344970703125,0.00027244800003245473
200000,1775241187.9529028,-814.3638916015625,3999.0,0.025609636679291725,78.11849975585938,0.0045145726762712,2.1294922828674316,0.1902720034122467,-814.3638916015625,-18.471113204956055,0.0002708160027395934
210000,1775241208.5345724,-695.3594970703125,,0.024172022938728333,15.585848808288574,0.004488225560635328,2.1516876220703125,0.1897439956665039,-695.3594970703125,-25.163225173950195,0.0002692319976631552
220000,1775241229.4787061,,,0.02341935783624649,101.44560241699219,0.004461079835891724,2.150665760040283,0.1891999989748001,,-25.188589096069336,0.00026760000037029386
230000,1775241249.435911,,,0.01613384671509266,63.74545669555664,0.004433934576809406,2.1574435234069824,0.1886560022830963,,-29.285005569458008,0.0002659680030774325
240000,1775241269.633472,-1329.2779541015625,3999.0,0.023675408214330673,45.15059280395508,0.004406788852065802,2.1594948768615723,0.18811200559139252,-1329.2779541015625,-24.39183807373047,0.00026433600578457117
