wall_time,step,value
1775244930.2286782,40000,3999.0
1775245010.0634093,80000,3999.0
1775245091.4612699,120000,3999.0
1775245170.6589572,160000,3999.0
1775245252.0011806,200000,3999.0
1775245331.0937805,240000,3999.0
1775245407.2616444,280000,3999.0
1775245487.4049575,320000,3999.0
1775245568.1836576,360000,3999.0
1775245648.8960783,400000,3999.0
1775245726.435695,440000,3999.0
1775245806.8986955,480000,3999.0
1775245887.438161,520000,3999.0
1775245965.7998667,560000,3999.0
1775246046.536035,600000,3999.0
1775246129.664649,640000,3999.0
1775246208.5167453,680000,3999.0
1775246289.965242,720000,3999.0
1775246370.927702,760000,3999.0
1775246451.8777618,800000,3999.0
1775246529.589435,840000,3999.0
1775246608.7436707,880000,3999.0
1775246688.7432537,920000,3999.0
1775246765.559936,960000,3999.0
1775246844.963713,1000000,3999.0
1775246927.446025,1040000,3999.0
1775247009.5472312,1080000,3999.0
1775247086.5151334,1120000,3999.0
1775247166.392969,1160000,3999.0
1775247247.3686254,1200000,3999.0
1775247324.709099,1240000,3999.0
1775247405.4324946,1280000,3999.0
1775247483.9411323,1320000,3999.0
1775247560.6191125,1360000,3999.0
1775247637.03079,1400000,3999.0
1775247760.861923,1450000,3998.0
1775247848.148669,1490000,3999.0
1775247932.556282,1530000,3999.0
1775248015.9549146,1570000,3999.0
1775248097.7891538,1610000,3999.0
1775248177.7359722,1650000,3999.0
1775248261.5889978,1690000,3999.0
1775248346.8133829,1730000,3999.0
1775248428.5907266,1770000,3999.0
1775248511.3319438,1810000,3999.0
1775248595.4049704,1850000,3999.0
1775248679.1832294,1890000,3999.0
1775248759.4771702,1930000,3999.0
1775248843.1228113,1970000,3999.0
