wall_time,step,value
1775249027.3125014,40000,-888.3396606445312
1775249047.8465266,50000,-904.9497680664062
1775249108.7601438,80000,-724.7286987304688
1775249129.9896274,90000,-147.64718627929688
1775249190.3786418,120000,-624.3027954101562
1775249211.1272364,130000,-570.0692138671875
1775249267.2635205,160000,-609.8779296875
1775249287.6168625,170000,-695.64208984375
1775249347.443427,200000,-571.1860961914062
1775249367.368701,210000,-632.845947265625
1775249428.6659951,240000,-1048.677978515625
1775249449.2534783,250000,-375.0238952636719
1775249505.455801,280000,-508.5111999511719
1775249525.846641,290000,-414.07928466796875
1775249586.315035,320000,-485.9776306152344
1775249606.8092072,330000,-850.7708129882812
1775249665.2455747,360000,-529.43359375
1775249686.4050422,370000,-423.78436279296875
1775249748.0100543,400000,-1028.0333251953125
1775249766.241009,410000,-546.9153442382812
1775249828.465092,440000,-607.8729858398438
1775249850.0102992,450000,-2000.323974609375
1775249910.5953267,480000,-555.1494750976562
1775249930.8721688,490000,-359.1043395996094
1775249992.153917,520000,-509.4366760253906
1775250012.587464,530000,-434.22174072265625
1775250068.9745162,560000,-495.4334411621094
1775250089.7126548,570000,-430.7942199707031
1775250150.23041,600000,-560.5452880859375
1775250170.6896553,610000,-261.3984375
1775250232.2147784,640000,-573.0198974609375
1775250252.7632775,650000,-347.42608642578125
1775250310.622599,680000,-684.607666015625
1775250330.928559,690000,-703.0709838867188
1775250390.0412781,720000,-479.4830017089844
1775250443.6137989,730000,-320.6549072265625
1775250521.925366,770000,-768.2136840820312
1775250601.4230154,810000,-639.0942993164062
1775250682.6112835,850000,-641.5466918945312
1775250771.7364066,890000,-651.7242431640625
1775250855.2308424,930000,-665.511474609375
1775250932.72543,970000,-625.3547973632812
1775251011.2596872,1010000,-758.7739868164062
1775251089.3924341,1050000,-610.7613525390625
1775251164.8038743,1090000,-572.3345336914062
1775251243.5906422,1130000,-744.75439453125
1775251322.2306569,1170000,-1911.75830078125
1775251401.9863243,1210000,-646.31640625
1775251477.7685843,1250000,-718.537109375
1775251555.8311245,1290000,-532.9351196289062
1775251634.269311,1330000,-616.8204956054688
1775251709.6426022,1370000,-736.3916625976562
1775251787.7793787,1410000,-1452.74609375
1775251866.5976727,1450000,-589.5144653320312
1775251944.5553665,1490000,-656.7960815429688
1775252020.5280888,1530000,-630.7573852539062
1775252098.4747465,1570000,-644.2598266601562
1775252176.316495,1610000,-1067.7188720703125
1775252252.2978377,1650000,-684.0338745117188
1775252330.3095927,1690000,-693.086669921875
1775252408.7348545,1730000,-1338.3087158203125
1775252485.2189558,1770000,-1072.338623046875
1775252563.7385018,1810000,-1095.1837158203125
1775252641.826689,1850000,-1531.5946044921875
1775252719.8799713,1890000,-3607.7587890625
1775252796.034283,1930000,-915.2109985351562
