wall_time,step,value
1775249027.3125014,40000,3999.0
1775249108.7601438,80000,3999.0
1775249190.3786418,120000,3999.0
1775249267.2635205,160000,3999.0
1775249347.4419415,200000,3999.0
1775249428.664978,240000,3999.0
1775249505.4542878,280000,3999.0
1775249586.3145185,320000,3999.0
1775249665.2455747,360000,3999.0
1775249748.0100543,400000,3999.0
1775249828.465092,440000,3999.0
1775249910.5943172,480000,3999.0
1775249992.1523793,520000,3999.0
1775250068.9745162,560000,3999.0
1775250150.229411,600000,3999.0
1775250232.2147784,640000,3999.0
1775250310.6210785,680000,3999.0
1775250390.0401647,720000,3999.0
1775250521.925366,770000,3998.0
1775250601.4230154,810000,3999.0
1775250682.6097696,850000,3999.0
1775250771.7351847,890000,3999.0
1775250855.2308424,930000,3999.0
1775250932.72543,970000,3999.0
1775251011.2586799,1010000,3999.0
1775251089.3924341,1050000,3999.0
1775251164.8028762,1090000,3999.0
1775251243.5906422,1130000,3999.0
1775251322.2296565,1170000,3999.0
1775251401.9863243,1210000,3999.0
1775251477.768075,1250000,3999.0
1775251555.8311245,1290000,3999.0
1775251634.2688015,1330000,3999.0
1775251709.6415951,1370000,3999.0
1775251787.7788715,1410000,3999.0
1775251866.5961668,1450000,3999.0
1775251944.5553665,1490000,3999.0
1775252020.5270822,1530000,3999.0
1775252098.4747465,1570000,3999.0
1775252176.3159878,1610000,3999.0
1775252252.296842,1650000,3999.0
1775252330.309085,1690000,3999.0
1775252408.7333481,1730000,3999.0
1775252485.2184508,1770000,3999.0
1775252563.7372527,1810000,3999.0
1775252641.825271,1850000,3999.0
1775252719.8799713,1890000,3999.0
1775252796.034283,1930000,3999.0
