wall_time,step,value
1775249027.3137784,40000,-888.3396606445312
1775249047.8485327,50000,-904.9497680664062
1775249108.7616546,80000,-724.7286987304688
1775249129.9911435,90000,-147.64718627929688
1775249190.3801455,120000,-624.3027954101562
1775249211.12976,130000,-570.0692138671875
1775249267.2660277,160000,-609.8779296875
1775249287.6192062,170000,-695.64208984375
1775249347.444932,200000,-571.1860961914062
1775249367.3707132,210000,-632.845947265625
1775249428.6671057,240000,-1048.677978515625
1775249449.2544792,250000,-375.0238952636719
1775249505.4573243,280000,-508.5111999511719
1775249525.8486981,290000,-414.07928466796875
1775249586.3165731,320000,-485.9776306152344
1775249606.8102117,330000,-850.7708129882812
1775249665.247103,360000,-529.43359375
1775249686.407066,370000,-423.78436279296875
1775249748.0120683,400000,-1028.0333251953125
1775249766.2425146,410000,-546.9153442382812
1775249828.4666378,440000,-607.8729858398438
1775249850.01183,450000,-2000.323974609375
1775249910.5973518,480000,-555.1494750976562
1775249930.8731685,490000,-359.1043395996094
1775249992.154917,520000,-509.4366760253906
1775250012.588979,530000,-434.22174072265625
1775250068.9770627,560000,-495.4334411621094
1775250089.7136576,570000,-430.7942199707031
1775250150.2319193,600000,-560.5452880859375
1775250170.692169,610000,-261.3984375
1775250232.216786,640000,-573.0198974609375
1775250252.7647908,650000,-347.42608642578125
1775250310.624127,680000,-684.607666015625
1775250330.9300656,690000,-703.0709838867188
1775250390.0428004,720000,-479.4830017089844
1775250443.6163142,730000,-320.6549072265625
1775250521.9278898,770000,-768.2136840820312
1775250601.4256794,810000,-639.0942993164062
1775250682.613294,850000,-641.5466918945312
1775250771.7379112,890000,-651.7242431640625
1775250855.2333555,930000,-665.511474609375
1775250932.726975,970000,-625.3547973632812
1775251011.261193,1010000,-758.7739868164062
1775251089.3949609,1050000,-610.7613525390625
1775251164.8053834,1090000,-572.3345336914062
1775251243.5931456,1130000,-744.75439453125
1775251322.232655,1170000,-1911.75830078125
1775251401.987333,1210000,-646.31640625
1775251477.770113,1250000,-718.537109375
1775251555.8331265,1290000,-532.9351196289062
1775251634.270411,1330000,-616.8204956054688
1775251709.6436007,1370000,-736.3916625976562
1775251787.780386,1410000,-1452.74609375
1775251866.5991895,1450000,-589.5144653320312
1775251944.5568943,1490000,-656.7960815429688
1775252020.5296066,1530000,-630.7573852539062
1775252098.477327,1570000,-644.2598266601562
1775252176.3180132,1610000,-1067.7188720703125
1775252252.2988377,1650000,-684.0338745117188
1775252330.311112,1690000,-693.086669921875
1775252408.7369735,1730000,-1338.3087158203125
1775252485.2199736,1770000,-1072.338623046875
1775252563.7405305,1810000,-1095.1837158203125
1775252641.8282113,1850000,-1531.5946044921875
1775252719.8819773,1890000,-3607.7587890625
1775252796.0362947,1930000,-915.2109985351562
