wall_time,step,value
1775301274.924029,40000,-1218.2078857421875
1775301291.842918,50000,-4785.6943359375
1775301342.2662468,80000,-5558.04736328125
1775301359.3933733,90000,-3813.714111328125
1775301410.0696325,120000,-258.4609069824219
1775301427.3159888,130000,8941.142578125
1775301476.166058,160000,1986.1290283203125
1775301493.173374,170000,5324.41162109375
1775301527.1421804,190000,3429.866455078125
1775301544.6470344,200000,-4090.96728515625
1775301594.6954215,230000,7790.515625
1775301612.1953802,240000,-1196.0445556640625
1775301662.534887,270000,1832.2247314453125
1775301679.8103697,280000,-2722.4541015625
1775301730.166204,310000,-1593.2388916015625
1775301747.3026736,320000,2473.521240234375
1775301795.5758305,350000,-405.6430969238281
1775301812.9136717,360000,12.214679718017578
1775301863.3209522,390000,-2633.45751953125
1775301880.8005106,400000,-12554.8564453125
1775301930.9818256,430000,2636.856689453125
1775301948.1044552,440000,-5001.3779296875
1775301998.0487158,470000,-5121.869140625
1775302015.2762928,480000,27.33686065673828
1775302065.6275713,510000,-1677.3907470703125
1775302082.8537216,520000,-177.8871307373047
1775302116.713661,540000,4664.1787109375
1775302133.327625,550000,-15046.5029296875
1775302150.1743505,560000,-1823.329345703125
1775302181.9064295,580000,6232.107421875
1775302198.611937,590000,-2470.3173828125
1775302215.843866,600000,-266.5307312011719
1775302249.2806516,620000,4869.4052734375
1775302265.7362409,630000,-1869.788330078125
1775302282.9716363,640000,4975.55810546875
1775302299.2194288,650000,459.9439697265625
1775302316.3872755,660000,-11996.6533203125
1775302333.0525303,670000,6349.86474609375
1775302350.2783132,680000,-1613.335205078125
1775302366.9972334,690000,-11808.267578125
1775302383.7740686,700000,4225.2451171875
1775302400.409093,710000,-3251.619873046875
1775302417.6208155,720000,-5192.07080078125
1775302434.1333706,730000,-1012.0311279296875
1775302451.1947136,740000,-8892.7099609375
1775302467.9261243,750000,1505.6771240234375
1775302485.1134455,760000,1226.294921875
1775302501.7333915,770000,-1557.273193359375
1775302518.9252489,780000,-2535.267578125
1775302535.5528803,790000,4979.36181640625
1775302552.7159677,800000,-460.6885681152344
1775302569.3161085,810000,-8981.7490234375
1775302586.4918573,820000,-2725.41162109375
1775302603.0093894,830000,-3863.005126953125
1775302620.0373209,840000,2207.253662109375
1775302636.6384423,850000,5263.4072265625
1775302653.7835603,860000,2770.260009765625
1775302670.4281595,870000,5676.98779296875
1775302687.5007915,880000,-5979.068359375
1775302719.0459933,900000,-2625.5576171875
1775302735.988479,910000,-411.9833679199219
1775302753.0854013,920000,-5171.17529296875
1775302786.7071989,940000,-1018.90087890625
1775302803.425094,950000,-5093.34228515625
1775302820.7411945,960000,-1562.009765625
1775302855.8227758,980000,3756.67041015625
1775302872.8053167,990000,8750.3505859375
1775302889.7091975,1000000,-2580.2431640625
1775302906.7762632,1010000,1967.24951171875
1775302923.6160123,1020000,5729.611328125
1775302940.5101044,1030000,259.2955627441406
1775302957.433443,1040000,1846.1270751953125
1775302974.2109735,1050000,10304.126953125
1775302991.20467,1060000,-8860.7119140625
1775303008.2059593,1070000,-2953.00390625
1775303025.1448338,1080000,3459.186279296875
1775303041.8283257,1090000,8685.615234375
1775303058.9322214,1100000,-332.549072265625
1775303075.868317,1110000,-2701.8125
1775303092.7450964,1120000,-3726.3642578125
1775303109.4180987,1130000,5814.009765625
1775303126.1982262,1140000,4950.0751953125
1775303143.052982,1150000,6842.62744140625
1775303160.1474605,1160000,220.72415161132812
1775303176.9204094,1170000,1870.981689453125
1775303193.3322127,1180000,-492.09832763671875
1775303210.1808074,1190000,-13148.19921875
1775303227.1724892,1200000,-446.9831237792969
1775303243.8088384,1210000,-6940.2236328125
1775303260.6160855,1220000,8963.494140625
1775303275.6153471,1230000,-2965.119384765625
1775303292.3204083,1240000,-3492.427490234375
1775303309.164986,1250000,-2463.30224609375
1775303325.6399405,1260000,140.25193786621094
1775303342.5169592,1270000,1584.453125
1775303359.3831565,1280000,2320.184814453125
1775303376.3060932,1290000,3452.254150390625
1775303392.952236,1300000,-15725.2734375
1775303409.8897626,1310000,3739.662109375
1775303426.616211,1320000,-459.4426574707031
1775303443.3179061,1330000,199.13601684570312
1775303460.161698,1340000,554.1564331054688
1775303477.1220539,1350000,762.0149536132812
1775303493.8135247,1360000,-4128.7705078125
1775303510.8491187,1370000,5636.13525390625
1775303527.668059,1380000,2971.80517578125
1775303544.4707432,1390000,-803.2291259765625
1775303560.9805028,1400000,-4912.82421875
1775303577.896304,1410000,12047.2880859375
1775303594.5536537,1420000,4356.794921875
1775303611.3315222,1430000,4.018528461456299
1775303627.939573,1440000,5681.85546875
1775303644.7160058,1450000,7525.6796875
1775303661.5299413,1460000,173.01031494140625
1775303678.2511473,1470000,-2046.8936767578125
1775303695.042944,1480000,6719.52001953125
1775303711.8544335,1490000,5301.14404296875
1775303728.4211452,1500000,5559.62890625
1775303745.258948,1510000,708.318603515625
1775303762.0190725,1520000,9322.943359375
1775303779.1434484,1530000,-7321.73388671875
1775303796.0619934,1540000,3535.73583984375
1775303813.048544,1550000,-4671.28564453125
1775303829.7985594,1560000,-16400.1484375
