step,wall_time,Environment_Cumulative_Reward,Environment_Episode_Length,Losses_Policy_Loss,Losses_Value_Loss,Policy_Beta,Policy_Entropy,Policy_Epsilon,Policy_Extrinsic_Reward,Policy_Extrinsic_Value_Estimate,Policy_Learning_Rate
10000,1775253013.029126,,,,,,2.2643563747406006,,,-18.85519027709961,
20000,1775253034.388593,,,0.02282269299030304,154.4684295654297,0.004972854629158974,2.2568023204803467,0.19945600628852844,,-36.17739486694336,0.0002983679878525436
30000,1775253054.4588866,,,0.025375518947839737,77.29710388183594,0.004945708904415369,2.25437593460083,0.19891199469566345,,-76.94121551513672,0.00029673599055968225
40000,1775253075.2532864,-2122.373779296875,3999.0,0.025051424279808998,139.14968872070312,0.004918563179671764,2.2565181255340576,0.19836799800395966,-2122.373779296875,-89.78514099121094,0.0002951039932668209
50000,1775253096.4789255,-541.5810546875,,0.019615594297647476,93.87145233154297,0.0048922160640358925,2.259155750274658,0.19784000515937805,-541.5810546875,-20.11736297607422,0.0002935199881903827
60000,1775253117.3548899,,,0.016204163432121277,134.6892852783203,0.004865070339292288,2.2516262531280518,0.19729599356651306,,-66.62511444091797,0.0002918879908975214
70000,1775253136.9684715,,,0.023763533681631088,28.671092987060547,0.004837924614548683,2.2653305530548096,0.19675199687480927,,-72.97514343261719,0.00029025599360466003
80000,1775253157.5019608,-710.4295043945312,3999.0,0.023571394383907318,88.68506622314453,0.004810779355466366,2.273310422897339,0.19620800018310547,-710.4295043945312,-106.90280151367188,0.0002886239963117987
90000,1775253177.5553496,-17092.8203125,,0.026675615459680557,38.5098991394043,0.004784431774169207,2.2843868732452393,0.19568000733852386,-17092.8203125,-20.16183853149414,0.0002870399912353605
100000,1775253198.0972595,,,0.028996478766202927,31.858882904052734,0.004757286515086889,2.2731781005859375,0.19513599574565887,,-15.816303253173828,0.00028540799394249916
110000,1775253218.247455,,,0.022137600928544998,75.2715835571289,0.004730140790343285,2.2562122344970703,0.19459199905395508,,-15.088769912719727,0.0002837759966496378
120000,1775253238.805629,-617.0061645507812,3999.0,0.022288518026471138,24.198801040649414,0.00470299506559968,2.2821385860443115,0.19404800236225128,-617.0061645507812,-16.4975528717041,0.0002821439993567765
130000,1775253259.5272462,-561.1060180664062,,0.030124612152576447,23.608333587646484,0.004676647949963808,2.2807822227478027,0.19351999461650848,-561.1060180664062,-15.748398780822754,0.0002805599942803383
140000,1775253277.7199452,,,,,,2.2746822834014893,,,-13.540602684020996,
150000,1775253298.0435755,,,0.022432854399085045,55.23369216918945,0.004649502225220203,2.278475284576416,0.1929759979248047,,-20.333377838134766,0.00027892799698747694
160000,1775253318.2624407,-1271.4932861328125,3999.0,0.02628607675433159,96.9653091430664,0.004622356966137886,2.2772390842437744,0.1924320012331009,-1271.4932861328125,-43.368350982666016,0.0002772959996946156
170000,1775253338.9168072,-976.5863037109375,,0.020051980391144753,95.48836517333984,0.004596009384840727,2.27642822265625,0.1919039934873581,-976.5863037109375,-15.354924201965332,0.0002757119946181774
180000,1775253359.3765807,,,0.028614314272999763,41.887664794921875,0.0045688641257584095,2.275341510772705,0.1913599967956543,,-17.172365188598633,0.00027407999732531607
190000,1775253378.4665637,,,0.019298924133181572,54.64460372924805,0.004541718401014805,2.276726007461548,0.1908160001039505,,-16.666019439697266,0.00027244800003245473
200000,1775253397.8127146,-546.621826171875,3999.0,0.02581622824072838,17.0096435546875,0.0045145726762712,2.2839653491973877,0.1902720034122467,-546.621826171875,-20.020559310913086,0.0002708160027395934
210000,1775253418.4161017,-737.2815551757812,,0.02222353219985962,34.042991638183594,0.004488225560635328,2.280977249145508,0.1897439956665039,-737.2815551757812,-15.858675003051758,0.0002692319976631552
220000,1775253439.0753,,,0.025261806324124336,57.2695198059082,0.004461079835891724,2.274400234222412,0.1891999989748001,,-18.877700805664062,0.00026760000037029386
230000,1775253458.8214524,,,0.023731930181384087,32.84886932373047,0.004433934576809406,2.2822036743164062,0.1886560022830963,,-18.987247467041016,0.0002659680030774325
240000,1775253479.2261827,-713.9188232421875,3999.0,0.026372261345386505,40.46004867553711,0.004406788852065802,2.2764904499053955,0.18811200559139252,-713.9188232421875,-17.331388473510742,0.00026433600578457117
250000,1775253499.9824345,-715.1142578125,,0.019418908283114433,33.8527717590332,0.00438044173642993,2.2861411571502686,0.18758399784564972,-715.1142578125,-16.736574172973633,0.000262752000708133
260000,1775253520.1565726,,,0.02355457842350006,45.599830627441406,0.004353296011686325,2.2646164894104004,0.18704000115394592,,-14.666994094848633,0.00026112000341527164
270000,1775253537.282415,,,,,,2.2724344730377197,,,-18.607852935791016,
280000,1775253557.061181,-527.9025268554688,3999.0,0.023686205968260765,69.85676574707031,0.00432615028694272,2.286905527114868,0.18649600446224213,-527.9025268554688,-16.623760223388672,0.0002594880061224103
290000,1775253577.3217416,-621.128173828125,,0.02504461631178856,10.815488815307617,0.0042998031713068485,2.2740321159362793,0.18596799671649933,-621.128173828125,-14.128975868225098,0.0002579040010459721
300000,1775253597.9010038,,,0.021400857716798782,42.820457458496094,0.004272657446563244,2.2462422847747803,0.18542400002479553,,-17.427518844604492,0.00025627200375311077
310000,1775253617.5183866,,,0.020814985036849976,51.72187805175781,0.0042455121874809265,2.279153823852539,0.18488000333309174,,-16.0821590423584,0.0002546400064602494
320000,1775253638.0015342,-423.9862365722656,3999.0,0.015404499135911465,19.94431495666504,0.004218366462737322,2.2787113189697266,0.18433600664138794,-423.9862365722656,-16.805875778198242,0.0002530080091673881
